ID,Gender,Status,Children,Age,Customer_Status,Car_Owner,Customer_Service,Satisfaction,Business_Area,Action
1016,Female,M,1,41.91,Inactive,No,"took a long time to check in, and it would have been nice if someone explained how to get the convertible top down.",0,Product: Functioning,Free Upgrade
1133,Female,S,1,56.05,Inactive,No,Please lower the prices.,0,Product: Pricing and Billing,Free Upgrade
1243,Female,D,0,18.94,Inactive,Yes,The car I reserved was not ready.,0,Product: Functioning,Free Upgrade
3382,Female,M,1,52.15,Inactive,No,They should upgrade me every time.,0,Service: Knowledge,Free Upgrade
3721,Female,M,2,61.71,Inactive,Yes,I didn't get the auto I was told would be available.  There were some hidden fees added on to the price I was quoted.,0,Product: Availability/Variety/Size,Free Upgrade
1737,Female,M,0,42.35,Inactive,Yes,auto cost more because I didn't pay when I reserved it,0,Product: Availability/Variety/Size,Free Upgrade
1934,Female,S,1,57.55,Inactive,No,"needed: shorter lines & cleaner vans, friendlier reps",0,Product: Functioning,Free Upgrade
2068,Female,S,2,53.28,Inactive,No,I expected customer service to recognize that I rent from their company every single day. I expect some difference for this loyalty.,0,Product: Functioning,Free Upgrade
2341,Female,M,2,18.77,Active,No,"it seems that they never have the class of auto that I ordered.  also, the last time I got there earlier than I thought and they wouldn't let me have the auto until the time that I had requested it because their computer wouldn't allow it.",0,Product: Functioning,Free Upgrade
2558,Female,S,0,55.11,Inactive,No,Customer Service at Alamo was RUDE. We waited in line for over an hour to get our auto. Car was bad. Had to change it few days later. Another family traveling with us was upgraded to a larger auto as they were out of the type of auto booked.,0,Product: Functioning,Free Upgrade
3,Female,M,0,48.5,Inactive,Yes,Car rental cost was higher because I decided to pay cash,0,Product: Availability/Variety/Size,Free Upgrade
4,Female,M,2,65.2,Inactive,Yes,I had to pay more because of some hidden fees. It disappointed me.,0,Product: Availability/Variety/Size,Free Upgrade
17,Female,S,1,53.04,Inactive,No,Please back to lower the prices.,0,Product: Pricing and Billing,Free Upgrade
22,Female,S,1,54.02,Inactive,No,Please stop increasing the prices.,0,Product: Pricing and Billing,Free Upgrade
30,Female,D,1,33,Active,No,Did not have some problems. My auto was not ready on time.,0,Service: Accessibility,Free Upgrade
38,Female,S,2,20.4,Inactive,No,They could really try work harder.,0,Service: Attitude,Free Upgrade
239,Female,M,1,46,Inactive,Yes,They did not have the auto I wanted.  upgraded me to a auto I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
247,Female,M,0,44,Inactive,No,"delayed shuttle, almost missed flight, bad customer service",0,Product: Functioning,Free Upgrade
686,Female,M,1,63.65,Inactive,No,"Was average, nothing out of the ordinary.  Took a long time to get the auto.",0,Product: Functioning,Free Upgrade
759,Female,M,0,45.49,Inactive,No,"I haven't actually spoken with anyone from a auto rental organization for quite a while.  When I did (probably about three years ago), I believe they were attentive enough. However, I always hate to wait in lines when we have a lot of luggage.",0,Product: Functioning,Free Upgrade
803,Male,S,1,42.23,Inactive,Yes,accelerate the rental process!,0,Product: Functioning,Free Upgrade
1016,Male,M,1,41.91,Inactive,No,"took a long time to check in, and it would have been lovely if someone explained how to get the convertible top down.",0,Product: Functioning,Free Upgrade
1133,Male,S,1,56.05,Inactive,No,Please lower the prices.,0,Product: Pricing and Billing,Free Upgrade
1243,Male,D,0,18.94,Inactive,Yes,The auto I reserved was not ready.,0,Product: Functioning,Free Upgrade
3382,Male,M,1,52.15,Inactive,No,They should upgrade me every time.,0,Service: Knowledge,Free Upgrade
3721,Male,M,2,61.71,Inactive,Yes,I didn't get the car I was told would be available.  There were some hidden fees added on to the price I was quoted.,0,Product: Availability/Variety/Size,Free Upgrade
1737,Male,M,0,42.35,Inactive,Yes,car cost more because I didn't pay when I reserved it,0,Product: Availability/Variety/Size,Free Upgrade
1934,Male,S,1,57.55,Inactive,No,"needed: shorter lines & cleaner cars, friendlier reps",0,Product: Functioning,Free Upgrade
2068,Male,S,2,53.28,Inactive,No,I expected customer service to recognize that I rent from their company every single day. I expect some difference for this loyalty.,0,Product: Functioning,Free Upgrade
2341,Male,M,2,18.77,Active,No,"it seems that they never have the class of car that I ordered.  also, the last time I got there earlier than I thought and they wouldn't let me have the car until the time that I had requested it because their computer wouldn't allow it.",0,Product: Functioning,Free Upgrade
2558,Male,S,0,55.11,Inactive,No,Customer Service at Alamo was RUDE. We waited in line for over an hour to get our car. Car was bad. Had to change it few days later. Another family traveling with us was upgraded to a larger car as they were out of the type of car booked.,0,Product: Functioning,Free Upgrade
3,Male,M,0,48.5,Inactive,Yes,Car rental cost was higher because I decided to pay cash,0,Product: Availability/Variety/Size,Free Upgrade
4,Male,M,2,65.2,Inactive,Yes,I had to pay more because of some hidden fees. It disappointed me.,0,Product: Availability/Variety/Size,Free Upgrade
6,Male,M,1,46,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
7,Male,M,1,55,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
8,Male,M,1,26,Inactive,Yes,They did not have the car I wanted. Upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
10,Male,M,1,46,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
12,Male,M,1,46,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
13,Male,M,1,46,Inactive,Yes,They did not have the car I wanted. Upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
14,Male,M,1,46,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
15,Male,M,1,46,Inactive,Yes,They did not have the car I wanted. Upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
16,Male,M,1,46,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
17,Male,S,1,53.04,Inactive,No,Please back to lower the prices.,0,Product: Pricing and Billing,Free Upgrade
22,Male,S,1,54.02,Inactive,No,Please stop increasing the prices.,0,Product: Pricing and Billing,Free Upgrade
30,Male,D,1,33,Active,No,Did not have some problems. My car was not ready on time.,0,Service: Accessibility,Free Upgrade
38,Male,S,2,20.4,Inactive,No,They could really try work harder.,0,Service: Attitude,Free Upgrade
239,Male,M,1,46,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
239,Male,S,1,25,Inactive,Yes,They did not have the car I wanted.  upgraded me to a van which was dirty.,0,Product: Availability/Variety/Size,Free Upgrade
239,Male,S,1,32,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like.,0,Product: Availability/Variety/Size,Free Upgrade
239,Male,S,1,52,Inactive,Yes,They did not have the car I wanted.  upgraded me to a vehicle I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
247,Male,M,0,44,Inactive,No,"delayed shuttle, almost missed flight, bad customer service",0,Product: Functioning,Free Upgrade
686,Male,M,1,63.65,Inactive,No,"Was average, nothing out of the ordinary.  Took a long time to get the car.",0,Product: Functioning,Free Upgrade
759,Male,M,0,45.49,Inactive,No,"I haven't actually spoken with anyone from a car rental organization for quite a while.  When I did (probably about three years ago), I believe they were polite enough. However, I always hate to wait in lines when we have a lot of luggage.",0,Product: Functioning,Free Upgrade
803,Male,S,1,42.23,Inactive,Yes,speed up the rental process!,0,Product: Functioning,Free Upgrade
1365,Male,S,0,48,Inactive,Yes,"The only complaint I have is getting in fast, and not waiting in long lines. When I pick up a car. Or return it.",0,Product: Functioning,On-demand pickup location
1645,Male,S,1,56.05,Inactive,No,More agents during peak hours,0,Product: Functioning,On-demand pickup location
3541,Male,S,1,17.01,Inactive,Yes,"Slow, long lineup",0,Product: Functioning,On-demand pickup location
3716,Male,M,2,61.71,Inactive,Yes,The company was overwhelmed by the number of customers verse the number of available agents and they were not articulating their situation to the customers well enough. I think we waited for almost 3 hours just to get a rental auto. It was ridiculous.,0,Service: Orders/Contracts,On-demand pickup location
3785,Male,S,1,17.01,Inactive,Yes,The auto should have been brought to us instead of us trying to find it in the lot.,0,Product: Information,On-demand pickup location
1646,Male,S,2,62.75,Active,Yes,Most windows were closed.,0,Product: Functioning,On-demand pickup location
1647,Male,S,0,55.34,Inactive,Yes,the agent obviously hates their job more than I hate mine and that surprises me,0,Product: Functioning,On-demand pickup location
1897,Male,M,1,46.83,Inactive,Yes,long lines waiting for the rental pick.,0,Product: Functioning,On-demand pickup location
2061,Male,S,1,43.91,Active,Yes,"The rental clerk was lovely, but I swear she was deaf.  We had to repeat everything twice and although we had a reservation she treated us like a walk in, so that all the information that we gave to reserve the auto we had to repeat all over again.",0,Service: Knowledge,On-demand pickup location
2222,Male,S,0,53.69,Inactive,No,long lines waiting for the rental pick.,0,Product: Functioning,On-demand pickup location
2329,Male,S,0,55.34,Inactive,Yes,"Customer service was hopeless. They care less about your having reserved a certain auto, but they are quick to upgrade you to a better one when you start causing a fuss. It would be nicer if no fuss was required and you got upgraded by default.",0,Product: Functioning,On-demand pickup location
41,Male,M,2,60.2,Inactive,Yes,It took us almost three hours just to get a auto! It was absurd.,0,Service: Orders/Contracts,On-demand pickup location
1365,Male,S,0,48,Inactive,Yes,"The only complaint I have is getting in fast, and not waiting in long lines. When I pick up a auto. Or return it.",0,Product: Functioning,On-demand pickup location
1645,Male,S,1,56.05,Inactive,No,More agents during peak hours,0,Product: Functioning,On-demand pickup location
3541,Male,S,1,17.01,Inactive,Yes,"Slow, long lineup",0,Product: Functioning,On-demand pickup location
3716,Male,M,2,61.71,Inactive,Yes,The company was overwhelmed by the number of customers verse the number of available agents and they were not articulating their situation to the customers well enough. I think we waited for almost 3 hours just to get a rental car. It was ridiculous.,0,Service: Orders/Contracts,On-demand pickup location
3785,Male,S,1,17.01,Inactive,Yes,The car should have been brought to us instead of us trying to find it in the lot.,0,Product: Information,On-demand pickup location
1646,Male,S,2,62.75,Active,Yes,Most windows were closed.,0,Product: Functioning,On-demand pickup location
1647,Male,S,0,55.34,Inactive,Yes,the agent obviously hates their job more than I hate mine and that surprises me,0,Product: Functioning,On-demand pickup location
1897,Male,M,1,46.83,Inactive,Yes,long lines waiting for the rental pick.,0,Product: Functioning,On-demand pickup location
2061,Male,S,1,43.91,Active,Yes,"The rental clerk was nice, but I swear she was deaf.  We had to repeat everything twice and although we had a reservation she treated us like a walk in, so that all the information that we gave to reserve the car we had to repeat all over again.",0,Service: Knowledge,On-demand pickup location
2222,Male,S,0,53.69,Inactive,No,long lines waiting for the rental pick.,0,Product: Functioning,On-demand pickup location
2329,Male,S,0,55.34,Inactive,Yes,"Customer service was hopeless. They care less about your having reserved a certain car, but they are quick to upgrade you to a better one when you start causing a fuss. It would be nicer if no fuss was required and you got upgraded by default.",0,Product: Functioning,On-demand pickup location
41,Male,M,2,60.2,Inactive,Yes,It took us almost three hours just to get a car! It was absurd.,0,Service: Orders/Contracts,On-demand pickup location
1069,Male,S,2,53.28,Inactive,No,they could not provide driving directions,0,Service: Knowledge,Premium features
1148,Male,M,2,18.77,Inactive,No,they were a little slow,0,Product: Functioning,Premium features
1171,Male,S,0,38.73,Active,No,I would like the reps be knowledgeable about the immediate area around the rental agency and or have maps for the area available free of charge.,0,Product: Functioning,Premium features
1346,Male,M,0,50,Inactive,Yes,outlining the cost of gas per gallon charged if vehicle was returned without full tank,0,Product: Pricing and Billing,Premium features
3411,Male,M,1,58.71,Inactive,Yes,"customer service was great until we returned the auto. I experienced an issue with damage to the auto, and felt that things were left unanswered and still waiting for a response from them.",0,Service: Knowledge,Premium features
3699,Male,M,2,61.71,Inactive,Yes,"It would be lovely if they included maps to the airport drop off with the auto, last time we got lost returning the auto and almost missed the flight.  There was nothing on the exit that indicated rental returns.  Actually the one I really liked, was when we",0,Product: Information,Premium features
1760,Male,M,0,42.17,Inactive,No,"States have different rules and regulations pertaining to speed, radar detectors, even when light should be on.  Customer services reps should have a handout or be knowledgeable of a particular state's laws.",0,Service: Knowledge,Premium features
1854,Male,S,0,40.18,Inactive,No,"We had an issue with our last vacation auto rental.  Instead of crediting the rental amount, the company issued a certificate for one free day (could have been 2, I don't exactly remember).  I would have rather had the credit for our current rental.",0,Product: Functioning,Premium features
20,Male,M,0,49,Inactive,Yes,I was penalty charged because vehicle was not returned with full tank.,0,Product: Pricing and Billing,Premium features
24,Male,M,0,51,Inactive,Yes,I do not  understand why I have to pay extra fee if vehicle is returned without a full tank.,0,Product: Pricing and Billing,Premium features
1069,Male,S,2,53.28,Inactive,No,they could not provide driving directions,0,Service: Knowledge,Premium features
1148,Male,M,2,18.77,Inactive,No,they were a little slow,0,Product: Functioning,Premium features
1171,Male,S,0,38.73,Active,No,I would like the reps be knowledgeable about the immediate area around the rental agency and or have maps for the area available free of charge.,0,Product: Functioning,Premium features
1346,Male,M,0,50,Inactive,Yes,outlining the cost of gas per gallon charged if vehicle was returned without full tank,0,Product: Pricing and Billing,Premium features
3411,Male,M,1,58.71,Inactive,Yes,"customer service was great until we returned the car.  I experienced an issue with damage to the car, and felt that things were left unanswered and still waiting for a response from them.",0,Service: Knowledge,Premium features
3699,Male,M,2,61.71,Inactive,Yes,"It would be nice if they included maps to the airport drop off with the car, last time we got lost returning the car and almost missed the flight.  There was nothing on the exit that indicated rental returns.  Actually the one I really liked, was when we",0,Product: Information,Premium features
1760,Male,M,0,42.17,Inactive,No,"States have different rules and regulations pertaining to speed, radar detectors, even when light should be on.  Customer services reps should have a handout or be knowledgeable of a particular state's laws.",0,Service: Knowledge,Premium features
1854,Male,S,0,40.18,Inactive,No,"We had an issue with our last vacation car rental.  Instead of crediting the rental amount, the company issued a certificate for one free day (could have been 2, I don't exactly remember).  I would have rather had the credit for our current rental.",0,Product: Functioning,Premium features
20,Male,M,0,49,Inactive,Yes,I was penalty charged because vehicle was not returned with full tank.,0,Product: Pricing and Billing,Premium features
24,Male,M,0,51,Inactive,Yes,I do not  understand why I have to pay additional fee if vehicle is returned without a full tank.,0,Product: Pricing and Billing,Premium features
1350,Male,M,1,52.27,Inactive,Yes,I thought that they were very short and not very friendly. I felt like they hated their job and could care less about the customer.,0,Product: Functioning,Voucher
3180,Male,M,1,54.96,Active,Yes,"They couldn't find my confirmation number in their system, which was rather frustrating.",0,Service: Orders/Contracts,Voucher
3806,Male,S,1,14.64,Active,Yes,Having knowledgeable personnel is very important,0,Service: Knowledge,Voucher
2312,Male,S,2,53.28,Inactive,No,It was absolutely ATROCIOUS! My wife and I were in a foreign country  when we realized that our auto had an expired license plate and expired proof of insurance!,0,Product: Functioning,Voucher
2464,Male,S,1,57.55,Inactive,No,slow and stupid,0,Product: Functioning,Voucher
40,Male,M,1,52.1,Active,Yes,"They had problem to find reservation number, so whole process took too long time.",0,Service: Orders/Contracts,Voucher
191,Male,M,0,45.51,Inactive,Yes,what customer service? It was a nightmare,0,Service: Knowledge,Voucher
1350,Male,M,1,52.27,Inactive,Yes,I thought that they were very short and not very friendly. I felt like they hated their job and could care less about the customer.,0,Product: Functioning,Voucher
3180,Male,M,1,54.96,Active,Yes,"They couldn't find my confirmation number in their system, which was rather frustrating.",0,Service: Orders/Contracts,Voucher
3806,Male,S,1,14.64,Active,Yes,Having knowledgeable personnel is very important,0,Service: Knowledge,Voucher
2312,Male,S,2,53.28,Inactive,No,It was absolutely ATROCIOUS! My wife and I were in a foreign country  when we realized that our car had an expired license plate and expired proof of insurance!,0,Product: Functioning,Voucher
2464,Male,S,1,57.55,Inactive,No,slow and stupid,0,Product: Functioning,Voucher
40,Male,M,1,52.1,Active,Yes,"They had problem to find reservation number, so whole process took too long time.",0,Service: Orders/Contracts,Voucher
191,Male,M,0,45.51,Inactive,Yes,what customer service? It was a nightmare,0,Service: Knowledge,Voucher
1246,Female,S,0,46,Inactive,No,"Had problems with windshield wipers that affected usability.  Problem was not solved.  Customer service was NOT helpful. Because of franchising, I was not able to get help from an office other than the one I rented from.  I had driven 60 miles from that location and there was another location 2 miles from where I was staying.",0,Product: Functioning,Free Upgrade
1360,Female,S,0,48.53,Active,Yes,they should not try so hard to up sell,0,Service: Attitude,Free Upgrade
3789,Female,S,0,48,Active,No,"My last auto rental was in Costa Rica.  There was lots of red tape associated with renting the auto, it took almost an hour.  I don't usually experience that type of problem in the US.",0,Product: Functioning,Free Upgrade
1,Female,M,2,43,Inactive,Yes,"Initially the representative handled the situation badly.  No auto was available, even next day.  Then the rep helped to find us a auto in another agency.",0,Product: Availability/Variety/Size,Free Upgrade
29,Female,M,2,44.03,Active,No,VERY slow service!,0,Service: Accessibility,Free Upgrade
33,Female,S,0,45.3,Active,Yes,Do not try sell what I do not need.,0,Service: Attitude,Free Upgrade
36,Female,S,1,62.79,Inactive,Yes,They were idiots.  The auto had problems and they were unable to fix them or provide a replacement without a lot of hassle.,0,Product: Functioning,Free Upgrade
83,Female,M,2,48.85,Inactive,Yes,"I thought the representative handled the initial situation badly.  The company was out of vans, with none coming in that day.  Then the representative tried to find us a auto at another franchise.  There they were successful.",0,Product: Availability/Variety/Size,Free Upgrade
587,Female,D,1,42.39,Active,No,I would like them to be more speedy.  Also I would like the rental company to check the auto for previous damage while I am standing there.,0,Product: Functioning,Free Upgrade
626,Female,S,2,41.67,Inactive,No,"The only unpleasant aspects of interacting with personnel from the company was having to wait in a long line since most windows were closed. Also, they tried really hard to sell extra insurance coverage which was obnoxious.",0,Product: Functioning,Free Upgrade
772,Female,M,2,39.75,Active,Yes,They were too pushy in trying to sell insurance.,0,Product: Functioning,Free Upgrade
1246,Female,S,0,46,Inactive,No,"Had problems with windshield wipers that affected usability.  Problem was not solved.  Customer service was NOT cooperative. Because of franchising, I was not able to get help from an office other than the one I rented from.  I had driven 60 miles from that location and there was another location 2 miles from where I was staying.",0,Product: Functioning,Free Upgrade
1360,Female,S,0,48.53,Active,Yes,they should not try so hard to up sell,0,Service: Attitude,Free Upgrade
3789,Female,S,0,48,Active,No,"My last car rental was in Costa Rica.  There was lots of red tape associated with renting the car, it took almost an hour.  I don't usually experience that type of problem in the US.",0,Product: Functioning,Free Upgrade
1,Female,M,2,43,Inactive,Yes,"Initially the representative handled the situation badly.  No car was available, even next day.  Then the rep helped to find us a car in another agency.",0,Product: Availability/Variety/Size,Free Upgrade
9,Female,M,1,46,Inactive,Yes,They did not have the car I wanted. Upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
29,Female,M,2,44.03,Active,No,VERY slow service!,0,Service: Accessibility,Free Upgrade
33,Female,S,0,45.3,Active,Yes,Do not try sell what I do not need.,0,Service: Attitude,Free Upgrade
36,Female,S,1,62.79,Inactive,Yes,They were idiots.  The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.,0,Product: Functioning,Free Upgrade
83,Female,M,2,48.85,Inactive,Yes,"I thought the representative handled the initial situation badly.  The company was out of cars, with none coming in that day.  Then the representative tried to find us a car at another franchise.  There they were successful.",0,Product: Availability/Variety/Size,Free Upgrade
239,Female,M,1,46,Inactive,Yes,They did not have the car I wanted.  upgraded me to a vehicle I did not want.,0,Product: Availability/Variety/Size,Free Upgrade
239,Female,M,1,21,Inactive,Yes,They did not have the car I wanted. Car upgrade was disappointing.,0,Product: Availability/Variety/Size,Free Upgrade
239,Female,M,1,56,Inactive,Yes,They did not have the car I wanted. Proposed car was broken.,0,Product: Availability/Variety/Size,Free Upgrade
587,Female,D,1,42.39,Active,No,I would like them to be more speedy.  Also I would like the rental company to check the car for previous damage while I am standing there.,0,Product: Functioning,Free Upgrade
626,Female,S,2,41.67,Inactive,No,"The only unpleasant aspects of interacting with personnel from the company was having to wait in a long line since most windows were closed. Also, they tried really hard to sell additional insurance coverage which was obnoxious.",0,Product: Functioning,Free Upgrade
772,Female,M,2,39.75,Active,Yes,They were too pushy in trying to sell insurance.,0,Product: Functioning,Free Upgrade
1085,Female,S,2,42,Inactive,No,"Based on the customer service personnel I encountered most recently, I would say it is vastly preferable for the personnel to be able to at least pretend to care whether the customer ever actually receives a car rental that was reserved months in advance.",0,Service: Attitude,On-demand pickup location
1110,Female,M,2,52.97,Active,No,"The agents were not friendly when I checked in initially, that was annoying because I had just spent 3 hours on a plane and wanted to be greeted with a better attitude.",0,Product: Functioning,On-demand pickup location
1225,Female,M,0,42.35,Inactive,Yes,"The people where generally good, but overworked.  The printer went down.  The poor woman working the register was about to pull her hair out.  Customers were yelling at her, not me, but she was not in charge of the issues.",0,Product: Functioning,On-demand pickup location
1229,Female,M,0,12.34,Inactive,No,price too high and location off premise too far,0,Product: Pricing and Billing,On-demand pickup location
1379,Female,S,2,36.68,Inactive,Yes,"You need more staff to accommodate travelers who are in a hurry. Specifically, cut down the wait time to either retrieve or turn in a rental car.",0,Product: Functioning,On-demand pickup location
