Row_ID,Gender,Status,Children,Age,Customer_Status,Car_Owner,Customer_Service,Satisfaction,Business_Area,Business_Action,probability_na,probability_free_upgrade,probability_on-demand_pickup_location,probability_voucher,probability_premium_features
1,Female,M,0,14.23,Inactive,No,Even economy class cars are too expensive.,0,Product: Pricing and Billing,On-demand pickup location,0.00,0.31,0.36,0.21,0.11
2,Female,M,0,51,Inactive,No,"I have had a few issues with rentals recently, with no offer of apology.  Last time, the agent offered me an upgrade coupon but now he told me it is no longer available.",0,Product: Availability/Variety/Size,Voucher,0.00,0.31,0.36,0.21,0.11
3,Female,S,2,40.5,Inactive,No,"I would like the personnel to pretend they care about customer, at least.",0,Service: Attitude,On-demand pickup location,0.00,0.31,0.36,0.21,0.11
4,Male,D,1,33,Active,No,Did not have some problems. My car was not ready on time.,0,Service: Accessibility,Free Upgrade,0.00,0.31,0.36,0.21,0.11
5,Male,M,1,46,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade,0.00,1.00,0.00,0.00,0.00
6,Male,M,1,46,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade,0.00,1.00,0.00,0.00,0.00
7,Male,M,2,22.88,Active,Yes,Service was incredibly fast. Car was parked in area close to rental office.,1,Service: Accessibility,NA,1.00,0.00,0.00,0.00,0.00
8,Male,M,2,65.2,Inactive,Yes,I had to pay more because of some hidden fees. It disappointed me.,0,Product: Availability/Variety/Size,Free Upgrade,0.00,0.31,0.36,0.21,0.11
9,Female,S,0,36.92,Inactive,No,Everyone was very helpful.  The car was ready for me on time and I didn't have to wait a long time at the counter.,1,Product: Functioning,NA,1.00,0.00,0.00,0.00,0.00
10,Male,M,1,46,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade,0.00,1.00,0.00,0.00,0.00
11,Male,M,2,52.87,Active,No,"We dealt very little with customer service, and we only walked to the car assigned for us, and drive away.",1,Service: Orders/Contracts,NA,1.00,0.00,0.00,0.00,0.00
12,Female,S,2,55,Active,No,The car rental company that I went with had very good customer service. They were out of a certain car I reserved and gave me a upgrade and apologized.,1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
13,Male,M,2,34.95,Active,No,"Have not rented a car since last October.  Customer Service was good, shuttle service was available to and from airport.  Scheduled pickup was on time and they even found a package we had left in the car and brought it to the shuttle.",1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
14,Male,S,1,56.05,Inactive,No,Please lower the prices.,0,Product: Pricing and Billing,Free Upgrade,0.00,0.31,0.36,0.21,0.11
15,Male,M,0,27.26,Active,Yes,Friendly and very well informed,1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
16,Female,M,1,52.15,Inactive,No,"I had to wait in line for a long time to get and return the vehicle.  Also, the car was not clean.",0,Product: Functioning,Voucher,0.00,0.31,0.36,0.21,0.11
17,Female,M,0,60,Active,Yes,It was fine,1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
18,Female,M,1,52,Active,No,not applicable,1,Product: Functioning,NA,1.00,0.00,0.00,0.00,0.00
19,Female,M,0,55.97,Active,No,"friendly, but could not making any decisions on own",0,Service: Knowledge,Premium features,0.00,0.31,0.36,0.21,0.11
20,Female,M,2,48.21,Active,No,friendly people,1,Product: Functioning,NA,1.00,0.00,0.00,0.00,0.00
21,Female,S,2,55,Active,No,"it was fine, I had no problem at all.",1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
22,Male,S,1,57.55,Inactive,No,"needed: shorter lines & cleaner cars, friendlier reps",0,Product: Functioning,Free Upgrade,0.00,0.31,0.36,0.21,0.11
23,Male,M,0,53.68,Active,Yes,"It was okay, we got the car quickly, which is the most important thing",1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
24,Female,S,1,62.61,Inactive,No,"The person who assisted me was not very friendly and didn't like to give the details I was asking for (gas refill packages, insurance, etc.).",0,Product: Functioning,Premium features,0.00,0.31,0.36,0.21,0.11
25,Male,M,2,25.03,Active,Yes,No suggestions.  Customer Service was good.,1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
26,Male,M,1,64.8,Active,No,they were very nice,1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
27,Female,M,2,50.75,Active,No,"It was a good experience, received an upgrade at no charge.",1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
28,Female,M,1,52,Active,Yes,We did not have any trouble with customer service. No complaints.,1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
29,Female,M,1,63.93,Inactive,No,"The customer service agent was helpful, but I find that providing all of the information to the agent takes too long.  It would be nice if I could provide all of the information to the agent prior to coming the rental place.",0,Product: Functioning,On-demand pickup location,0.00,0.31,0.36,0.21,0.11
30,Female,M,2,31.13,Active,Yes,My last rental experience for leisure was fine -- no service issues to speak of.,1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
31,Male,M,1,16.33,Active,No,very limited (which is good).  quickly received car.,1,Product: Functioning,NA,1.00,0.00,0.00,0.00,0.00
32,Male,M,1,47.85,Active,No,Customer service was fine,1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
33,Female,M,1,43,Active,Yes,"For leisure/vacation, I have never personally rented the car.  I have always left that up to my significant other and she did not complain to use this company",1,Service: Orders/Contracts,NA,1.00,0.00,0.00,0.00,0.00
34,Female,M,2,41.92,Active,No,Customer service was friendly and helpful.,1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
35,Female,M,2,44.03,Active,No,fast service,1,Service: Accessibility,NA,1.00,0.00,0.00,0.00,0.00
36,Female,S,0,53.69,Inactive,No,"Penalties for smoking in non-smoking cars should be more severe, and include decapitation.  Customer service was not receptive.",0,Product: Functioning,Premium features,0.00,0.31,0.36,0.21,0.11
37,Male,S,2,55.64,Active,No,the line was slow but the agent was ok,1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
38,Male,S,1,24.39,Inactive,No,"Well since I used to work for a car rental company and at the time I rented I was still working with the company, I was treated with nothing but respect and received a free upgrade as well.",1,Product: Functioning,NA,1.00,0.00,0.00,0.00,0.00
39,Male,M,2,51.52,Active,Yes,The service was polite and professional. I was attended to quickly and courteously.,1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
40,Female,M,2,41,Active,No,service was good.,1,Service: Knowledge,NA,1.00,0.00,0.00,0.00,0.00
41,Male,M,2,61.71,Inactive,Yes,The company was overwhelmed by the number of customers verse the number of available agents and they were not articulating their situation to the customers well enough. I think we waited for almost 3 hours just to get a rental car. It was ridiculous.,0,Service: Orders/Contracts,On-demand pickup location,0.00,0.31,0.36,0.21,0.11
42,Female,M,2,45.36,Active,No,Provide more frequent pickup from the airport.,0,Service: Orders/Contracts,On-demand pickup location,0.00,0.31,0.36,0.21,0.11
43,Male,S,1,17.01,Inactive,Yes,The car should have been brought to us instead of us trying to find it in the lot.,0,Product: Information,On-demand pickup location,0.00,0.31,0.36,0.21,0.11